23;Wer schuf das Gemälde "Die Nachtcafé"?;Vincent van Gogh;Edvard Munch;Claude Monet;Pablo Picasso
22;In welchem Jahr wurde die Unabhängigkeit der USA erklärt?;1776;1789;1798;1804
21;Welcher ist der längste Fluss in Afrika?;Nil;Kongo;Amazonas;Jangtsekiang
20;Wer ist der Verfasser von "Die Kunst des Krieges"?;Sunzi (Sun Tzu);Mao Zedong;Laozi;Konfuzius
19;In welchem Jahr wurde das Periodensystem der Elemente erstellt?;1869;1803;1897;1924
18;Welches ist das älteste noch existierende Weltwunder?;Pyramiden von Gizeh;Hängende Gärten von Babylon;Zeusstatue von Olympia;Tempel der Artemis
17;Wer schrieb das Buch "Die Odyssee"?;Homer;Herodot;Sophokles;Euripides
16;Welcher ist der höchste Berg außerhalb des Himalaya?;Aconcagua;Denali;K2;Kangchenjunga
15;Welches Gas ist für den Geruch von verfaulten Eiern verantwortlich?;Schwefelwasserstoff;Methan;Ammoniak;Kohlenstoffdioxid
14;Wer erfand den Computer?;Charles Babbage;Alan Turing;John von Neumann;Ada Lovelace
13;Welche ist die älteste noch bestehende Religion der Welt?;Hinduismus;Judentum;Buddhismus;Zoroastrismus
12;Welches Element hat die Ordnungszahl 92?;Uran (U);Plutonium (Pu);Thorium (Th);Neptunium (Np)
11;In welchem Jahr wurde die erste erfolgreiche Herztransplantation durchgeführt?;1967;1955;1975;1985
10;Wer war der erste Mensch, der den Nordpol erreichte?;Robert Peary;Roald Amundsen;Fridtjof Nansen;Ernest Shackleton
9;Welches ist das am häufigsten vorkommende Edelgas in der Erdkruste?;Argon (Ar);Helium (He);Krypton (Kr);Radon (Rn)
8;Wer ist der Autor von "Die Ilias"?;Homer;Herodot;Sophokles;Euripides
7;In welchem Jahr wurde die Dampfmaschine erfunden?;1712;1769;1804;1845
6;Welcher ist der tiefste Punkt im Pazifischen Ozean?;Marianengraben;Tonga-Graben;Puerto-Rico-Graben;Philippinen-Graben
5;Wer schrieb das Buch "1984"?;George Orwell;Aldous Huxley;Ray Bradbury;Isaac Asimov
4;Welches Tier hat die meisten Zähne?;Schleimaal;Ameisenbär;Blauwal;Delfin
3;In welchem Jahr wurde die erste Kamera erfunden?;1816;1835;1850;1888
2;Welcher ist der kleinste Planet in unserem Sonnensystem?;Merkur;Mars;Erde;Venus
1;Wer komponierte die "Bilder einer Ausstellung"?;Modest Mussorgsky;Ludwig van Beethoven;Johann Sebastian Bach;Peter Tschaikowsky
0;Welches ist das kleinste Säugetier der Welt?;Etruskerspitzmaus;Bienenelfe;Zwergmaus;Kleiner Goldkopflöwe