50;Was ist die Hauptstadt von Kanada?;Ottawa;Toronto;Montreal;Vancouver
49;Wie viele Kontinente gibt es?;Sieben;Fünf;Sechs;Acht
48;Welches ist das längste Fluss der Welt?;Amazonas;Nil;Mississippi;Jangtse
47;In welchem Jahr fiel die Berliner Mauer?;1989;1961;1973;1991
46;Wer schrieb das Buch "Harry Potter"?;J.K. Rowling;J.R.R. Tolkien;C.S. Lewis;Stephenie Meyer
45;Wie viele Monde hat die Erde?;Einen;Zwei;Drei;Vier
44;Wer malte die "Mona Lisa"?;Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo
43;Was ist die chemische Formel für Wasser?;H₂O;CO₂;NaCl;CH₄
42;Welches ist das längste Tier der Welt?;Blauer Wal;Riesenkalmar;Giraffe;Nashornkäfer
41;In welchem Land liegt die Pyramide von Gizeh?;Ägypten;Sudan;Mexiko;Griechenland
40;Wer war der erste Mensch im Weltraum?;Juri Gagarin;Neil Armstrong;Buzz Aldrin;Yuri Gagarin
39;Wie viele Zeitzonen hat Russland?;Elf;Neun;Acht;Zwölf
38;Was ist die Hauptzutat in Guacamole?;Avocado;Tomate;Zitrone;Zwiebel
37;Wie heißt der höchste Berg der Welt?;Mount Everest;K2;Kangchenjunga;Makalu
36;Welches ist das meistgesprochene Sprache der Welt?;Mandarin;Englisch;Spanisch;Hindi
35;Wie viele Planeten hat unser Sonnensystem?;Acht;Neun;Sieben;Zehn
34;Was ist die chemische Formel für Kohlendioxid?;CO₂;H₂O;NaCl;CH₄
33;Wer schrieb das Buch "Der Herr der Ringe"?;J.R.R. Tolkien;J.K. Rowling;George R.R. Martin;C.S. Lewis
32;Welches ist das kleinste Element im Periodensystem?;Wasserstoff;Helium;Lithium;Sauerstoff
31;Welcher ist der längste Fluss Europas?;Wolga;Donau;Themse;Rhein
30;Wie viele Beine hat ein Spinnen?;Acht;Sechs;Zehn;Vier
29;In welchem Land liegt die Stadt Istanbul?;Türkei;Griechenland;Italien;Ägypten
28;Wer malte die "Sternennacht"?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;Michelangelo
27;Welches ist das größte Organ im menschlichen Körper?;Haut;Darm;Leber;Gehirn
26;Was ist die Hauptstadt von Australien?;Canberra;Sydney;Melbourne;Perth
25;Welches Element hat die chemische Bezeichnung "Fe"?;Eisen;Kohlenstoff;Silber;Gold
24;Wie viele Spieler hat eine Fußballmannschaft auf dem Feld?;Elf;Zwölf;Zehn;Neun
23;In welchem Land liegt die Stadt Peking?;China;Japan;Südkorea;Indien
22;Was ist die Hauptzutat in Sushi?;Reis;Fisch;Nori-Algen;Sojasoße
21;Wie viele Herzen hat ein Tintenfisch?;Drei;Ein;Zwei;Vier
20;Was ist die Hauptzutat in Pizza?;Teig;Käse;Tomatensauce;Salami
19;Wie viele Knochen hat ein erwachsener Mensch?;206;300;150;400
18;Was ist die Hauptstadt von Spanien?;Madrid;Barcelona;Rom;Lissabon
17;Wie viele Länder gibt es auf der Welt?;195;180;210;220
16;Wer war der erste Präsident der Vereinigten Staaten?;George Washington;Abraham Lincoln;Thomas Jefferson;John Adams
15;Was ist die chemische Formel für Salz?;NaCl;H₂O;CO₂;CH₄
14;Welches ist das schnellste Landtier?;Gepard;Antilope;Strauß;Löwe
13;Wie viele Milliliter sind in einem Liter?;Tausend;Hundert;Zehn;Fünfhundert
12;Was ist die Hauptstadt von Brasilien?;Brasília;Rio de Janeiro;São Paulo;Buenos Aires
11;Wie heißt der Prozess, bei dem Pflanzen Sonnenlicht in Energie umwandeln?;Photosynthese;Respiration;Fermentation;Osmose
10;Welches ist das größte Organ im menschlichen Körper?;Haut;Leber;Gehirn;Herz
9;Wer schrieb das Buch "Romeo und Julia"?;William Shakespeare;Jane Austen;Charles Dickens;Mark Twain
8;Welcher ist der kleinste Ozean der Welt?;Arktischer Ozean;Indischer Ozean;Südlicher Ozean;Atlantischer Ozean
7;Was ist die Hauptzutat in Hummus?;Kichererbsen;Olivenöl;Tahini;Knoblauch
6;Wie viele Kontinente gibt es?;Sieben;Fünf;Sechs;Acht
5;Wer schrieb das Buch "Faust"?;Johann Wolfgang von Goethe;Friedrich Schiller;Heinrich Heine;Thomas Mann
4;Welcher Planet ist der sonnennächste?;Merkur;Venus;Mars;Jupiter
3;Wer schrieb das Buch "Die Ilias"?;Homer;Herodot;Platon;Aristoteles
2;Wie viele Beine hat ein Spinnen?;Acht;Sechs;Zehn;Vier
1;Wie viele Knochen hat ein erwachsener Mensch?;206;300;150;400
0;Was ist die Hauptstadt von Frankreich?;Paris;Berlin;London;Rom